PhraseId	SentenceId	Phrase	Sentiment	sentiment
1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1	positive
2	1	A series of escapades demonstrating the adage that what is good for the goose	2	positive
3	1	A series	2	neutral
4	1	A	2	neutral
5	1	series	2	neutral
6	1	of escapades demonstrating the adage that what is good for the goose	2	positive
7	1	of	2	neutral
8	1	escapades demonstrating the adage that what is good for the goose	2	positive
9	1	escapades	2	neutral
10	1	demonstrating the adage that what is good for the goose	2	positive
11	1	demonstrating the adage	2	neutral
12	1	demonstrating	2	neutral
13	1	the adage	2	neutral
14	1	the	2	neutral
15	1	adage	2	neutral
16	1	that what is good for the goose	2	positive
17	1	that	2	neutral
18	1	what is good for the goose	2	positive
19	1	what	2	neutral
20	1	is good for the goose	2	positive
21	1	is	2	neutral
22	1	good for the goose	3	positive
23	1	good	3	positive
24	1	for the goose	2	neutral
25	1	for	2	neutral
26	1	the goose	2	neutral
27	1	goose	2	neutral
28	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	2	positive
29	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2	positive
30	1	is also	2	neutral
31	1	also	2	neutral
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2	positive
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	2	positive
34	1	the gander , some of which occasionally amuses but none of which amounts to much of a story	1	positive
35	1	the gander ,	2	neutral
36	1	the gander	2	neutral
37	1	gander	2	neutral
38	1	,	2	neutral
39	1	some of which occasionally amuses but none of which amounts to much of a story	2	positive
40	1	some of which	2	neutral
41	1	some	2	neutral
42	1	of which	2	neutral
43	1	which	2	neutral
44	1	occasionally amuses but none of which amounts to much of a story	2	positive
45	1	occasionally	2	neutral
46	1	amuses but none of which amounts to much of a story	2	positive
47	1	amuses	3	neutral
48	1	but none of which amounts to much of a story	1	positive
49	1	but	2	neutral
50	1	none of which amounts to much of a story	1	positive
51	1	none	2	neutral
52	1	of which amounts to much of a story	2	positive
53	1	which amounts to much of a story	2	positive
54	1	amounts to much of a story	2	positive
55	1	amounts	2	neutral
56	1	to much of a story	2	positive
57	1	to	2	neutral
58	1	much of a story	2	positive
59	1	much	2	positive
60	1	of a story	2	neutral
61	1	a story	2	neutral
62	1	story	2	neutral
63	1	.	2	neutral
64	2	This quiet , introspective and entertaining independent is worth seeking .	4	positive
65	2	This quiet , introspective and entertaining independent	3	positive
66	2	This	2	neutral
67	2	quiet , introspective and entertaining independent	4	positive
68	2	quiet , introspective and entertaining	3	positive
69	2	quiet	2	neutral
70	2	, introspective and entertaining	3	positive
71	2	introspective and entertaining	3	positive
72	2	introspective and	3	neutral
73	2	introspective	2	neutral
74	2	and	2	neutral
75	2	entertaining	4	positive
76	2	independent	2	neutral
77	2	is worth seeking .	3	positive
78	2	is worth seeking	4	positive
79	2	is worth	2	positive
80	2	worth	2	positive
81	2	seeking	2	neutral
82	3	Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .	1	negative
83	3	Even fans of Ismail Merchant 's work	2	neutral
84	3	Even fans	2	neutral
85	3	Even	2	neutral
86	3	fans	3	neutral
87	3	of Ismail Merchant 's work	2	neutral
88	3	Ismail Merchant 's work	2	neutral
89	3	Ismail Merchant 's	2	neutral
90	3	Ismail	2	neutral
91	3	Merchant 's	2	neutral
92	3	Merchant	2	neutral
93	3	's	2	neutral
94	3	work	2	neutral
95	3	, I suspect , would have a hard time sitting through this one .	1	negative
96	3	, I suspect ,	2	neutral
97	3	I suspect ,	2	neutral
98	3	I suspect	2	neutral
99	3	I	2	neutral
100	3	suspect	2	neutral
101	3	would have a hard time sitting through this one .	1	negative
102	3	would have a hard time sitting through this one	0	negative
103	3	would	2	neutral
104	3	have a hard time sitting through this one	0	negative
105	3	have	2	neutral
106	3	a hard time sitting through this one	1	negative
107	3	a hard time	1	negative
108	3	hard time	1	negative
109	3	hard	2	negative
110	3	time	2	neutral
111	3	sitting through this one	1	neutral
112	3	sitting	2	neutral
113	3	through this one	2	neutral
114	3	through	2	neutral
115	3	this one	2	neutral
116	3	one	2	neutral
117	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3	positive
118	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera	4	positive
119	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder	4	positive
120	4	A positively thrilling combination	3	positive
121	4	positively thrilling combination	3	positive
122	4	positively	3	positive
123	4	thrilling combination	3	positive
124	4	thrilling	4	positive
125	4	combination	2	neutral
126	4	of ethnography and all the intrigue , betrayal , deceit and murder	2	neutral
127	4	ethnography and all the intrigue , betrayal , deceit and murder	2	neutral
128	4	ethnography and	2	neutral
129	4	ethnography	2	neutral
